S no,Q.NO 3,RESPONSE,CODES,CATEGORY,,,,,,,,,,,,
,,       (v),,,,,,,,,,,,,,
1,57,0,0,YN,,,COUNT,,,,,,,,,
2,58,By feeling Monsoon Winds,0,YN,,,YN,17,,,,,,,,
3,48,0,0,YN,,,ON,20,,,,,,,,
5,42,"Low Pressure, Monsoon Winds",0,YN,,,YT,11,,,,,,,,
6,51,0,0,YN,,,OT,5,,,,,,,,
7,59,0,0,ON,,,TOTAL,53,,,,,,,,
8,59,0,0,ON,,,,,,,,,,,,
9,63,0,0,ON,,,,,,,,,,,,
10,62,0,0,ON,,,,,,,,,,,,
11,56,0,0,YN,,,,,,,,,,,,
13,65,0,0,ON,,,,,,,,,,,,
14,61,0,0,ON,,,,,,,,,,,,
16,66,0,0,ON,,,,,,,,,,,,
17,48,Babui bird's nest,0,YN,,,,,,,,,,,,
18,45,0,0,YN,,,,,,,,,,,,
19,42,0,0,YN,,,,,,,,,,,,
20,70,0,0,ON,,,,,,,,,,,,
21,70,0,0,ON,,,,,,,,,,,,
22,68,0,0,ON,,,,,,,,,,,,
23,60,Monsoon winds,0,ON,,,,,,,,,,,,
25,19,Cloudy Sky,0,YN,,,,,,,,,,,,
26,63,"TV,News and cloud pattern",1,OT,,,,,,,,,,,,
29,55,0,0,YN,,,,,,,,,,,,
31,62,0,0,ON,,,,,,,,,,,,
32,43,0,0,YN,,,,,,,,,,,,
33,53,"Radio,news",1,YT,,,,,,,,,,,,
34,60,0,0,ON,,,,,,,,,,,,
36,53,News,1,YT,,,,,,,,,,,,
39,30,"Pattern of cloud,low pressure",0,YN,,,,,,,,,,,,
40,65,0,0,ON,,,,,,,,,,,,
41,50,"News,internet",1,YT,,,,,,,,,,,,
42,40,News,1,YT,,,,,,,,,,,,
43,55,News,1,YT,,,,,,,,,,,,
44,48,0,0,YN,,,,,,,,,,,,
45,37,0,0,YN,,,,,,,,,,,,
46,42,"ant eggs,babui birds nest",0,YN,,,,,,,,,,,,
48,58,News,1,YT,,,,,,,,,,,,
49,50,"wind direction,news",1,YT,,,,,,,,,,,,
50,67,cloud pattern,0,ON,,,,,,,,,,,,
51,64,"Radio,news",1,OT,,,,,,,,,,,,
52,70,"cloud pattern, newspaper,internet",1,OT,,,,,,,,,,,,
54,46,cloud pattern,0,YN,,,,,,,,INDICATOR,,,CODING,
55,62,Wind direction,0,ON,,,MEDIAN = 58,,,,,YOUNG,Y,,TECHNOLOGY,1
56,61,mobile phone,1,OT,,,,,,,,OLD,O,,NATURAL,0
57,65,0,0,ON,,,,,,,,NATURAL,N,,,
59,76,0,0,ON,,,,,,,,TECHNOLOGY,T,,,
60,61,0,0,ON,,,,,,,,,,,,
61,59,cloud pattern,0,ON,,,,,,,,,,,,
62,43,internet,1,YT,,,,,,,,,,,,
63,44,internet and news,1,YT,,,,,,,,,,,,
64,62,"mobile,paper,others opinion",1,OT,,,,,,,,,,,,
65,38,internet and news,1,YT,,,,,,,,,,,,
66,57,mobile phone,1,YT,,,,,,,,,,,,
,,Total,16,,,,,,,,,,,,,
