,,,,,,,,,,,,,,,,
Q.NO 1,Q.NO 5,CODES(i),INDICATOR(i),Q.NO 14,CODES(ii),INDICATOR(ii),,,,,,,,,,
,,,,       (v),,,,,,,,,,,,
1,2,0,B,0,0,N,,,,,,,,,,
2,5,1,G,By feeling Monsoon Winds,0,N,,,,,,,,,,
3,5,1,G,0,0,N,,,,,,,,,,
5,11,0,B,"Low Pressure, Monsoon Winds",0,N,,,,,,,,,,
6,3,0,B,0,0,N,,,,,,,,,,
7,14,1,G,0,0,N,,,,,,,,,,
8,3,0,B,0,0,N,,,,,,,,,,
9,3,0,B,0,0,N,,,,,,CODING(ii),,,CODING(ii),
10,3,0,B,0,0,N,,,,,,TECHNOLOGY,1,,GENERAL,1
11,12,1,G,0,0,N,,,,,,NATURAL,0,,BACKWARD,0
13,12,1,G,0,0,N,,,,,,,,,,
14,10,1,G,0,0,N,,,,,,INDICATOR,,,,
16,10,1,G,0,0,N,,,,,,BACKWARD,B,,,
17,10,1,G,Babui bird's nest,0,N,,,,,,GENERAL,G,,,
18,10,1,G,0,0,N,,,,,,NATURAL,N,,,
19,10,1,G,0,0,N,,,,,,TECHNOLOGY,T,,,
20,13,0,B,0,0,N,,,,,,,,,,
21,13,0,B,0,0,N,,,,,,,,,,
22,15,1,G,0,0,N,,,,,,,,,,
23,15,1,G,Monsoon winds,0,N,,,,,,COUNT,,,,
25,12,1,G,Cloudy Sky,0,N,,,,,,BN,16,,,
26,12,1,G,"TV,News and cloud pattern",1,T,,,,,,BT,4,,,
29,9,1,G,0,0,N,,,,,,GN,21,,,
31,9,1,G,0,0,N,,,,,,GT,12,,,
32,8,0,B,0,0,N,,,,,,TOTAL,53,,,
33,8,0,B,"Radio,news",1,T,,,,,,,,,,
34,8,0,B,0,0,N,,,,,,,,,,
36,10,1,G,News,1,T,,,,,,,,,,
39,7,0,B,"Pattern of cloud,low pressure",0,N,,,,,,,,,,
40,6,1,G,0,0,N,,,,,,,,,,
41,4,1,G,"News,internet",1,T,,,,,,,,,,
42,4,1,G,News,1,T,,,,,,,,,,
43,4,1,G,News,1,T,,,,,,,,,,
44,4,1,G,0,0,N,,,,,,,,,,
45,4,1,G,0,0,N,,,,,,,,,,
46,16,1,G,"ant eggs,babui birds nest",0,N,,,,,,,,,,
48,2,0,B,News,1,T,,,,,,,,,,
49,2,0,B,"wind direction,news",1,T,,,,,,,,,,
50,2,0,B,cloud pattern,0,N,,,,,,,,,,
51,10,1,G,"Radio,news",1,T,,,,,,,,,,
52,2,0,B,"cloud pattern, newspaper,internet",1,T,,,,,,,,,,
54,2,0,B,cloud pattern,0,N,,,,,,,,,,
55,2,0,B,Wind direction,0,N,,,,,,,,,,
56,15,1,G,mobile phone,1,T,,,,,,,,,,
57,10,1,G,0,0,N,,,,,,,,,,
59,10,1,G,0,0,N,,,,,,,,,,
60,2,0,B,0,0,N,,,,Count of INDICATOR(i),Column Labels,,,,,
61,13,0,B,cloud pattern,0,N,,,,Row Labels,N,T,(blank),Grand Total,,
62,4,1,G,internet,1,T,,,,B,16,4,,20,,
63,4,1,G,internet and news,1,T,,,,G,21,12,,33,,
64,10,1,G,"mobile,paper,others opinion",1,T,,,,(blank),,,,,,
65,4,1,G,internet and news,1,T,,,,Grand Total,37,16,,53,,
66,4,1,G,mobile phone,1,T,,,,,,,,,,
